"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
1;1;"360 FORGED® - MESH 8 Custom Painted Close-Up";2,26,27,28,29,30,31,32,33,34,35,36,37;20.2032;20.2032;1;0.000000;1;;;;;;;3;3;;;0.000000;0.000000;0.000000;0.000000;102.000000;98;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;360-forged-mesh-8-custom-painted-close-up;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/1/1.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/2.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/3.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/4.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/5/5.jpg;0;1:34:1,2:34:2,4:34:3;1;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:28";21.960000
2;1;"402 Alpine Ultra Armor Silver  Clear Coat";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42;27.51;27.51;1;0.000000;0;;;;;;;4;4;;;0.000000;0.000000;0.000000;0.000000;103.000000;98;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;402-alpine-ultra-armor-silver-clear-coat;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/9/9.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/6/6.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/7/7.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/8/8.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/0/10.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:28";27.510000
3;1;"403 Slalom Ultra Armor Silver w Clear Coat";2,16,17,18,19,20,21,22,23,24,25,40;20.96;20.96;1;0.000000;0;;;;;;;5;8;;;0.000000;0.000000;0.000000;0.000000;104.000000;97;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;403-slalom-ultra-armor-silver-w-clear-coat;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/1/2/12.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/1/11.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/3/13.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/4/14.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/5/15.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;2,3,8,9,10,11,13,16;;;;"2015-12-17 11:03:28";20.960000
4;1;"404 Arctic Ultra Armor Silver w Clear Coat";2,26,27,28,29,30,31,32,33,34,35,36,37;30.96;30.96;1;0.000000;0;;;;;;;6;6;;;0.000000;0.000000;0.000000;0.000000;105.000000;99;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;404-arctic-ultra-armor-silver-w-clear-coat;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/1/6/16.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/7/17.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/8/18.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/1/9/19.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/0/20.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:28";30.960000
5;1;"ADV.1® - 10 M.V1";2,16,17,18,19,20,21,22,23,24,25,40;24.6048;24.6048;1;0.000000;1;;;;;;;8;8;;;0.000000;0.000000;0.000000;0.000000;107.000000;99;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;adv1-10-mv1;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/2/3/23.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/1/21.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/2/22.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/4/24.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/5/25.jpg;0;1:34:1,2:34:2,4:34:3;1;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,9,10,11,13,16;;;;"2015-12-17 11:03:28";27.960000
6;1;"ASANTI® - AF111";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42;35.0175;35.0175;1;0.000000;1;;;;;;;2;3;;;0.000000;0.000000;0.000000;0.000000;109.000000;99;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;asanti-af111;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/2/7/27.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/6/26.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/8/28.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/2/9/29.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/0/30.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:28";40.250000
7;1;"good year DURAPLUS (ASYMMETRIC)";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42;39.3825;39.3825;1;0.000000;1;;;;;;;5;6;;;0.000000;0.000000;0.000000;0.000000;112.000000;99;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;good-year-duraplus-asymmetric;;;1;0000-00-00;"2015-12-17 11:03:28";1;http://192.168.9.34/prestashop/theme1133_new/img/p/3/1/31.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/2/32.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/3/33.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/4/34.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/5/35.jpg;0;1:34:1,2:34:2,4:34:3;1;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:28";44.250000
8;1;"Gorilla Automotive 73633T The System Toyota Mag Wheel Locks With Washers";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42;20.25;20.25;1;0.000000;0;;;;;;;8;2;;;0.000000;0.000000;0.000000;0.000000;115.000000;100;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;gorilla-automotive-73633t-the-system-toyota-mag-wheel-locks-with-washers;;;1;0000-00-00;"2015-12-17 11:03:29";1;http://192.168.9.34/prestashop/theme1133_new/img/p/3/6/36.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/7/37.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/8/38.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/3/9/39.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/0/40.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:29";20.250000
9;1;"LEXANI FORGED® - 104 ZLT Forging Custom Painted";2,26,27,28,29,30,31,32,33,34,35,36,37;26.51;26.51;1;0.000000;0;;;;;;;2;4;;;0.000000;0.000000;0.000000;0.000000;117.000000;100;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;lexani-forged-104-zlt-forging-custom-painted;;;1;0000-00-00;"2015-12-17 11:03:29";1;http://192.168.9.34/prestashop/theme1133_new/img/p/4/1/41.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/2/42.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/3/43.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/4/44.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/5/45.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:29";26.510000
10;1;"LEXANI FORGED® - 709 Step Forging Custom Painted";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42;24.25;24.25;1;0.000000;0;;;;;;;3;5;;;0.000000;0.000000;0.000000;0.000000;117.000000;100;1;both;0.00;;0;"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres.</p>";"<p>Car owners know the real value of choosing quality wheels and tyres. Even if you have the most powerful engine, the next generation power transmission system and premium super-trick suspension, all this can make you lag behind competitors unless you equip your beast with the right wheels and tyres. It frequently happens that you can't find the necessary part or accessory in the local auto parts store. This is when online shops come in handy. You no longer need to wander around the town in search of the necessary car parts since all this can be found on our website. Join the club and bring wheels &amp; tyres shopping to the whole new level. <br /><br />We keep track of the latest web design trends and try hard to keep our estore up-to-date and modern. It is designed in such a way that nothing will distract you from the items worth your attention. All auto part can be accessed by clicking the banner on the home page, picking the right category in the top menu or simply typing the name of the items you need in the integrated search bar. Do you need assistance to come up with the product that will perfectly fit your particular vehicle? Our experienced team of sales and customer service reps can be reached 24/7 to give the customer a premium shopping experience. <br /><br />The days of walking into a wheel shop are over. Now any auto part and accessory can be reached in a few clicks. Our online catalog includes a wide range of wheels and tyres to fit your ride and budget. The flexible payment system will hardly leave any of you indifferent. Just give it a try and see it for yourself.</p>";;;;;lexani-forged-709-step-forging-custom-painted;;;1;0000-00-00;"2015-12-17 11:03:29";1;http://192.168.9.34/prestashop/theme1133_new/img/p/4/6/46.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/7/47.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/8/48.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/4/9/49.jpg,http://192.168.9.34/prestashop/theme1133_new/img/p/5/0/50.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;;;;;"2015-12-17 11:03:29";24.250000
