"Tax Rule Group ID";Name;Active;Deleted;"Date Add";"Date Upd"
2;"US-AK Rate (0%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
1;"US-AL Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
4;"US-AR Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
3;"US-AZ Rate (6.6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
5;"US-CA Rate (8.25%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
6;"US-CO Rate (2.9%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
7;"US-CT Rate (0%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
52;"US-DC Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
8;"US-DE Rate (0%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
9;"US-FL Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
10;"US-GA Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
11;"US-HI Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
15;"US-IA Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
12;"US-ID Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
13;"US-IL Rate (6.25%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
14;"US-IN Rate (7%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
16;"US-KS Rate (5.3%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
17;"US-KY Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
18;"US-LA Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
21;"US-MA Rate (6.25%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
20;"US-MD Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
19;"US-ME Rate (5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
22;"US-MI Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
23;"US-MN Rate (6.875%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
25;"US-MO Rate (4.225%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
24;"US-MS Rate (7%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
26;"US-MT Rate (0%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
33;"US-NC Rate (5.5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
34;"US-ND Rate (5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
27;"US-NE Rate (5.5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
29;"US-NH Rate (0%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
30;"US-NJ Rate (7%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
31;"US-NM Rate (5.125%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
28;"US-NV Rate (6.85%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
32;"US-NY Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
35;"US-OH Rate (5.5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
36;"US-OK Rate (4.5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
37;"US-OR Rate (0%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
38;"US-PA Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
51;"US-PR Rate (5.5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
39;"US-RI Rate (7%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
40;"US-SC Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
41;"US-SD Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
42;"US-TN Rate (7%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
43;"US-TX Rate (6.25%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
44;"US-UT Rate (4.75%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
46;"US-VA Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
45;"US-VT Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
47;"US-WA Rate (6.5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
49;"US-WI Rate (5%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
48;"US-WV Rate (6%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
50;"US-WY Rate (4%)";1;0;"2015-12-17 11:03:24";"2015-12-17 11:03:24"
